American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK), B07CJCGM1M ,‎Samsonite,NA
HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Grey & Black), B07MGDFT9C ,"‎Heroz, A-630, Amar puri, Krishna Basti, Ram Tirath nagar. Pahar Ganj. New Deihi. 110055",NA
Half Moon 35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Sky Blue),B0BR149RMT,Amazing Bags,"Introducing the ultimate laptop backpack designed for maximum safety and comfort. Made with durable, water-resistant materials, this backpack keeps your laptop protected from the elements and accidental spills. The padded laptop compartment fits most laptops up to 17 inches, and is specially designed with shock-absorbing foam to keep your device secure and safe from bumps and drops. The backpack also features padded shoulder straps and a padded back panel for added comfort during long commutes or trips. The adjustable shoulder strap helps to distribute the weight evenly across your body, reducing strain on your shoulders and back. In addition to the laptop compartment, the backpack has plenty of room for all of your other essentials, including books, documents, and personal items. The organizer pockets and key clip keep your items organized and easily accessible. Whether you're commuting to work or hitting the trails, this laptop backpack is the perfect choice for keeping your device safe and secure, while also providing maximum comfort on the go. So, it is an ideal choice for people who are looking for a laptop backpack that is both safe and comfortable."
F Gear Colorado Grey Orange 39 Ltrs Laptop Backpack (3814),B097K6KD7W,"Uber Fashion Merchandise Pvt Ltd, Uber Fashion Merchandise Pvt Ltd 17G 46 3 1Flr 2Stage Yeshwantpur Bangalore560022 contact@fgear.in 9066161590",F Gear presents gigantic laptop backpack blends style and functionality. It comes with substantial capacity to accommodate your laptop and several other essentials with ease. This bag does way more than just look good. It provides extra protection for all your valuable devices. The dimensions of the bag are - 34 x 22 x 52 with a capacity of 39 L. To describe it briefly here are the following points: 1. This backpack is made of polyester fabric and is treated to make it water-resistant. 2. This backpack comes with 2-main zippered compartment with an inside sleeve compatible for laptop. 3. This backpack has a front compartment with an organizer. 4. This backpack comes with one zippered front pocket & one quick access mesh zippered. 5. This backpack is equipped with thick padding with anti-sweat breathable air mesh & adjustable padded shoulder straps for extra comfort. 6. Apart from this it has world’s best Japanese brand YKK zippers and sliders. 7. This backpack has two mesh pockets on both sides. 8. Comes with the F Gear promise of quality and durability.
"HYDER 35L Latest And Trendy Stylish Waterproof College/Casual/School Bag/Backpack For Kids, Boys, Girls, Men And Women | Best Bags For Everyday Use",B0BR3KK8TR,"Bharat Engineering Company, 138, Yadgarpur, Kila Road, Meerut, Bharat Engineering Company Add: 138, Yadgarpur, Kila Road, Meerut, Contact: +91-9557636884, commerce.hyder@gmail.com",NA
"Fur Jaden 15.6 Inch Laptop Backpack 25 LTR Bag for School, College and Office with USB Charging Port",B07MXM5M99,"Fur Jaden, 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028",Meticulously designed to provide a perfect fit. Offers a premium quality material that ensure durability
"HYDER 35L Latest And Trendy Stylish Waterproof College/Casual/School Bag/Backpack For Kids, Boys, Girls, Men And Women | Best Bags For Everyday Use",B0BR3KK8TR,"Bharat Engineering Company, 138, Yadgarpur, Kila Road, Meerut, Bharat Engineering Company Add: 138, Yadgarpur, Kila Road, Meerut, Contact: +91-9557636884, commerce.hyder@gmail.com",NA
HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Grey & Black), B07MGDFT9C ,"‎Heroz, A-630, Amar puri, Krishna Basti, Ram Tirath nagar. Pahar Ganj. New Deihi. 110055",NA
NORTH ZONE Northzone Sling Cross Body Travel Office Business Messenger One Side Shoulder Pouch Bag Money Bag for Men and Women,B0C555LQF4,"SHABA BAGS, SHABA BAGS PLOT NO 262 INDER ENCLAVE PHASE 1 CONTACT NO 9354115195",Northzone Sling Cross Body Travel Office Business Messenger one Side Shoulder Pouch Bag Money Bag for Men and Women
Half Moon 35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Sky Blue),B0BR149RMT,Amazing Bags,"Introducing the ultimate laptop backpack designed for maximum safety and comfort. Made with durable, water-resistant materials, this backpack keeps your laptop protected from the elements and accidental spills. The padded laptop compartment fits most laptops up to 17 inches, and is specially designed with shock-absorbing foam to keep your device secure and safe from bumps and drops. The backpack also features padded shoulder straps and a padded back panel for added comfort during long commutes or trips. The adjustable shoulder strap helps to distribute the weight evenly across your body, reducing strain on your shoulders and back. In addition to the laptop compartment, the backpack has plenty of room for all of your other essentials, including books, documents, and personal items. The organizer pockets and key clip keep your items organized and easily accessible. Whether you're commuting to work or hitting the trails, this laptop backpack is the perfect choice for keeping your device safe and secure, while also providing maximum comfort on the go. So, it is an ideal choice for people who are looking for a laptop backpack that is both safe and comfortable."
F Gear Colorado Grey Orange 39 Ltrs Laptop Backpack (3814),B097K6KD7W,"Uber Fashion Merchandise Pvt Ltd, Uber Fashion Merchandise Pvt Ltd 17G 46 3 1Flr 2Stage Yeshwantpur Bangalore560022 contact@fgear.in 9066161590",F Gear presents gigantic laptop backpack blends style and functionality. It comes with substantial capacity to accommodate your laptop and several other essentials with ease. This bag does way more than just look good. It provides extra protection for all your valuable devices. The dimensions of the bag are - 34 x 22 x 52 with a capacity of 39 L. To describe it briefly here are the following points: 1. This backpack is made of polyester fabric and is treated to make it water-resistant. 2. This backpack comes with 2-main zippered compartment with an inside sleeve compatible for laptop. 3. This backpack has a front compartment with an organizer. 4. This backpack comes with one zippered front pocket & one quick access mesh zippered. 5. This backpack is equipped with thick padding with anti-sweat breathable air mesh & adjustable padded shoulder straps for extra comfort. 6. Apart from this it has world’s best Japanese brand YKK zippers and sliders. 7. This backpack has two mesh pockets on both sides. 8. Comes with the F Gear promise of quality and durability.
"Genie Clara Backpack for Women - 3 compartments, Laptop Bags for Girls, Stylish and Trendy College Backpacks for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose.",B097JJGR1N,"Safari, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059","How do you describe a Perfect School Backpack? Spacious enough to carry all the books, yet Light Weight! Padded Laptop Sleeve to keep it secure and sound. Multiple Pockets to segregate all the items and keep it easily accessible. An Organizer to keep your each and every school supplies in an arranged manner. Side Pocket to keep the Water Bottle. Water Resistant exteriors to keep all your worries at bay and lastly, latest and trendy design to keep those ""Cute Bagpack"" compliment coming in! Yes. We have that Perfect Bag for you, in our Genie store. Bringing you a cute, stylish and trendy design, Genie Clara School Bag."
"Fur Jaden 15.6 Inch Laptop Backpack 25 LTR Bag for School, College and Office with USB Charging Port",B07MXM5M99,"Fur Jaden, 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028",Meticulously designed to provide a perfect fit. Offers a premium quality material that ensure durability
Zipline Unisex Casual Polyester 36 L Blue Backpack School Bag Women Men Boys Girls College Bag,B09XN3YD4Q,"Atulitu Agency, 251/3364, Tagore Nagar - 1, Vikhroli East, Mumbai - 400083-(9820078070)","A super-slim design, trendy looks and durable construction - this stylish 36 L backpack from ZIPLINE has got everything that will complement your youthful personality. With its spacious interiors, this unisex backpack is a great option for short road trips, college and work. Ergonomic design Crafted from polyester, this backpack is sturdy enough to withstand regular wear and tear gracefully. It features a cushioned base and internal back padding to offer you extra comfort. The padded shoulder straps of this bag can be easily adjusted according to your liking. Spacious Featuring three main compartments, all with speciality zippers, this bag offers you enough space to carry your books, files, coins, travel accessories, stationery, keys and mobile accessories. It comes with the ZIPLINE promise of quality."
LuvLap Lily Travel Multifunctional Waterproof Diaper Bag-Backpack Cum Tote Bag (Black), B07W6Z8XKB ,‎0 months and up,"Two way carry - diaper bag can be carried both as a back pack or as a tote bag. Waterproof and easy to clean - made of premium oxford material makes this bag water resistant, thereby safe from water and milk spills. Large storage capacity with 15 pockets - 7 inner pockets with a key ring holder and 8 outer pockets allows organizing items easily, making more space and finding essentials faster. 2 Insulated bottle holders with inner tin foil insulation layer, helps keep milk warm on-the-go, wide view top zipper compartment with metal support allows wide easy viewing to place or take out things easily, hidden anti-theft pocket design at the back and an easy access back pocket makes it convenient and secure. Unique tissue dispensing side pocket allow easy access to tissues during an accidental spill, includes diaper changing mat allowing convenient on-the-go diaper change."
Gear Eco4 18L Water Resistant School Bag//Backpack/College Bag for Men/Women - Navy Blue,B019HA8DQQ,"Gear Merchandise PVT LTD, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366","Intuitively crafted at the Gear design studio to balance comfort, style, endurance and functionality."
F Gear Circadian Guc Black 27 Ltrs Casual Backpack (3330),B084THQXCD,"Uber Fashion Merchandise Pvt. Ltd., Uber Fashion Merchandise Pvt. Ltd. No. 17G/46-3 & 17G/46-3-1 , 1st & 2nd Floor, Industrial Suburb, 2nd Stage, Yeshwantpur, Next to Sapna Books on MEI road, Bangalore – 560 022. INDIA Tel: 9066161590",The product will be an excellent pick for you. It ensures an easy maintenance.
"MOKOBARA The Work Backpack 15.6"" Inch Laptop | Travel Backpack For Men And Women",B0B7X8BYQJ,Designed By Mokobara Lifestyle Private Limited,NA
"PAZZO Alto 40L Casual Backpack - 3 Compartment Travel Backpack, College|School Bag with 1 Year Warranty",B07VT3F795,PAZZO,NA
Impulse rucksack bags 60 litres travel bag for men tourist bag for travel backpack for hiking trekking Bag for men camping thames blue bag with 1 Year Warranty,B09TDL9FJ8,NA,NA
Wildcraft 35 ltrs (19 Cms) Casual Backpack(11619-Typo_Blk_Black),B079MBFH5V,Wildcraft,"Two compartment for better organisation, side fabric pocket for carrying a bottle, padded back system for better back support, padded shoulder straps for comfort and ease of carrying, quick-grab haul loop, quick-access, flat front pocket to store basic essentials, multi-level organiser for storing accessories."
Asus BP1504 39.62 cm (15.6-inch) Laptop Backpack (Dark Grey), B0895ZZHKK ,"‎ASUS, Shanghai Korrun Bag & Luggage Production Co. , Lt d","ASUS BP1504 offers stylish, elegant protection for laptops with displays up to 15.6 inch. Elegant and lightweight Cross-dyed Woven Fabric making for a truly beautiful accessory to any NoteBook laptop."
Gear Eco4 18L Water Resistant School Bag//Backpack/College Bag for Men/Women - Navy Blue,B019HA8DQQ,"Gear Merchandise PVT LTD, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366","Intuitively crafted at the Gear design studio to balance comfort, style, endurance and functionality."
Asus BP1504 39.62 cm (15.6-inch) Laptop Backpack (Dark Grey), B0895ZZHKK ,"‎ASUS, Shanghai Korrun Bag & Luggage Production Co. , Lt d","ASUS BP1504 offers stylish, elegant protection for laptops with displays up to 15.6 inch. Elegant and lightweight Cross-dyed Woven Fabric making for a truly beautiful accessory to any NoteBook laptop."
DZert Clasy Laptop Bag College Bag for Boys Girls 21 L Black,B07H193V57,"Rushi Enterprise, Rushi Enterprise, Jeshinjpara, Valapra Gujarat Amreli-365601 Mo- 9714228584",NA
"MOKOBARA The Work Backpack 15.6"" Inch Laptop | Travel Backpack For Men And Women",B0B7X8BYQJ,Designed By Mokobara Lifestyle Private Limited,NA
"PAZZO Alto 40L Casual Backpack - 3 Compartment Travel Backpack, College|School Bag with 1 Year Warranty",B07VT3F795,PAZZO,NA
"Tabelito® NEO 3O L Water Resistant Laptop/College/Office/School/Travel/Business Bag, Unisex Backpack for Men Women Fits Up to 15.6 Inch Laptop Notebook.",B0C2D24G29,"‎Tabelito Trade India, ‎Tabelito Trade India, Tabelito Trade India, Prop No: 5, Ground Floor, Kh No:641, Village Rithala, Land Mark: Near Suzuki service center (Rithala), Contact : +919958166528","Decent BACKPACK: The Tabelito Backpack / Daypack is made of HIGH QUALITY Anti Scratch Fabric with a sturdy zipper design, making it incredibly sturdy, tear-resistant, and capable of protecting your items from dust, rain, and filth. Even more robust and long-lasting are the strong buckle and zipper. LARGE CAPACITY & MULTI COMPARTMENTS & LIGHT WEIGHT: The backpack has three compartments. There is ample storage for clothes, books, a lunchbox, daily needs, and tech equipment accessories in the separate laptop compartment that fits a 15.6-inch laptop as well as a 15-inch, 14-inch, and 13-inch or Mac book. The middle compartment has enough capacity for a laptop charger, an iPad, a tablet, a smartphone, a document file, and other necessary accessories. There are two small elastic mesh side pockets for water bottles and a front compartment with zipper pockets for easy access items like a mask, wallet, metro card, and wallet. Make your goods more accessible and organised. HIGH QUALITY MATERIAL: The metal zippers on our backpack are made of high-quality, water-resistant Polyester fabric. Lightweight and strong build guarantee daily use that is safe and durable. Perfect for shopping, office work, business travel, weekend trips, and other outdoor activities. It is also the ideal backpack for teens, boys, girls, adults, and other genders."
Impulse rucksack bags 60 litres travel bag for men tourist bag for travel backpack for hiking trekking Bag for men camping thames blue bag with 1 Year Warranty,B09TDL9FJ8,NA,NA
"MosQuick® Clear large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent",B09SB42QFQ,NA,NA
Lavie Women's Nova Tote Bag | Ladies Purse Handbag,B07MXNWTB2,"Bagzone Lifestyle Pvt Ltd, Bagzone Lifestyle Pvt Ltd | | LAVIE 402, Ackruti Star, MIDC Central Road, Andheri East, Mumbai – 400093",This trendy Red tote from Lavie is an absolute necessity. It has a woven pattern for a twigged Indian appeal. Fuse it with your favourite denims and heels.
"Arctic Hunter Laptop Bag Office Laptop Messenger Bag with 15.6-inch Laptop Pocket Removeable Shoulder Strap Anti-theft Laptop Office Briefcase with Hidden Pocket 4 Zipper Pocket Water-resistant Laptop Sling Bag for Men and Women, Black", B0B6G58BYC ,"‎ah arctic hunter, Hoteon Trading Pvt. Ltd., #191, BOOHBCS (BANK COLONY),BTM 2nd Stage, Bangalore-560068. Phone 9148183707 or customercare@hoteon.com",NA
"Bennett Casual Laptop Bag school bags for boys girls 15.6-inch, 25 LTR Office & College bags for mens Water Repellent Backpack for Men & Women (Black)", B09WZHX3B1 ,"‎Texcoco Enterprises, 9958166528, Texcoco Enterprises, 9958166528",NA
"Aurion Vista Polyester Sports Gym Duffle Bag with Wet Pocket and Shoe Compartment - 1Pc (Blue, 24 Cms) | Lightweight Duffle Bags | Travel Duffel Backpack for Men and Women | Camping | Swimming | Yoga",B09139DYF1,"FIVE K GROUP, Boxseat Ventures Pvt Ltd","Our gym bag has a 20-35L space to hold your gym essentials. The travel bag has one front pocket store your wallet or phone. Size: 19.4""x9.8""x9.8""."
Wildcraft 35 Ltrs Casual Backpack (11619-Blue),B079DDV3JD,Wildcraft,"Two compartment for better organisation, side fabric pocket for carrying a bottle, padded back system for better back support, padded shoulder straps for comfort, ease of carrying, quick-grab haul loop, quick-access, flat front pocket to store basic essentials, multi-level organiser for storing accessories."
"FUR JADEN 15.6 Inch Smart Laptop Backpack Bag With USB Charging Port, Anti Theft Pocket and Accessories Organiser for Men Women Boys Girls",B0BSHBC51P,"Fur Jaden, Fur Jaden, 3C Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002","Essence: This Fur Jaden smart laptop backpack is for Men and Women who are looking for a voguish, modernistic and branded backpack while having the option to not compromise on quality and be able to carry tons of stuff. Easy Access Pockets: A sleek anti theft pocket on the back as well as 2 pockets on the front side help keep all your belongings comfortably organised. Multi Functional: This Fur Jaden Smart Backpack for men and women comes with a USB Charging Port which offers a convenient way to ensure you never run out of battery on the go. Organizer Pockets in the front compartment help keep al your accessories organized. Padded Laptop compartment helps keep your laptop safe. Ergonomic Design: The backpack features a sleek and ergonomic design with a balanced weight distribution through its straps to reduce the load bearing on your shoulders while the padded ventilated air mesh helps reduce sweat. This makes this bagpack a suitable alternative to bulky and unsightly laptop backpacks. The compact design of this Fur Jaden smart travel bag helps you to rest it comfortably on your shoulders while accommodating all your essentials with ease."
"Amazon Basics Laptop Messenger Bag with Adjustable Shoulder Strap, Padded Compartment & Storage Pockets, Lightweight, Water-Resistant, Travel-Friendly, Fits Up To 15.6"" Laptops (Unisex, Black & Grey)", B0C3RDFPVN ,"‎IRIS TECH, IRIS TECH,G-1/G-2, Dharam complex, Phase-1, Opp.Sapna Bar, Anjur Mankoli Road, Bhiwandi-421302","Carry your laptop conveniently with this stylish laptop messenger bag from Amazon Basics. It comes with a padded pocket suitable for a 15"" laptop, and other pockets to store small items. It is made from durable, water-resistant nylon and protects your belongings against accidental scratches, drops, shocks, and spills. The metal zippers add to its sturdiness and reliability. It comes with an adjustable shoulder strap, that may be removed to carry it as a handbag. It attaches easily to trolleys or luggage handles, making it the perfect on-the-go laptop case."
"Glowic Hopping Grocery, Travel, Beach | Shoulder Handbags Women, College Bags for Girls Stylish Trendy(WBAG-34) (Multi Colour)",B09HHNZ47K,"N HUB, N HUB,KATARGAM,SURAT,GUJARAT,INDIA 395004","GLOWIC presents an range of chic, stylish and classy bags. Perfect Look: Designed for the modern woman, we use a variety of trendy and traditional prints that make you and your bag stand out in the crowd. Colourful: Classic colour combinations as well as mix and match of hip patterns make these bags ideal for any occasion. Occasion: be it work, college,travel, event or a party, there is a perfect bag for everything and everyone. Long Lasting: Comfortable and Spacious, light to hold and long lasting, our line of fashionable sling bags and totes are a must have in any wardrobe Available in beautiful prints, eye catching embroidery and brilliant colours, our bags complement your clothes and accentuate your accessories.Available in beautiful prints, eye catching embroidery and brilliant colours, our bags complement your clothes and accentuate your accessories."
"Amazon Basics Laptop Messenger Bag with Adjustable Shoulder Strap, Padded Compartment & Storage Pockets, Lightweight, Water-Resistant, Travel-Friendly, Fits Up To 15.6"" Laptops (Unisex, Black & Grey)", B0C3RDFPVN ,"‎IRIS TECH, IRIS TECH,G-1/G-2, Dharam complex, Phase-1, Opp.Sapna Bar, Anjur Mankoli Road, Bhiwandi-421302","Carry your laptop conveniently with this stylish laptop messenger bag from Amazon Basics. It comes with a padded pocket suitable for a 15"" laptop, and other pockets to store small items. It is made from durable, water-resistant nylon and protects your belongings against accidental scratches, drops, shocks, and spills. The metal zippers add to its sturdiness and reliability. It comes with an adjustable shoulder strap, that may be removed to carry it as a handbag. It attaches easily to trolleys or luggage handles, making it the perfect on-the-go laptop case."
"Glowic Hopping Grocery, Travel, Beach | Shoulder Handbags Women, College Bags for Girls Stylish Trendy(WBAG-34) (Multi Colour)",B09HHNZ47K,"N HUB, N HUB,KATARGAM,SURAT,GUJARAT,INDIA 395004","GLOWIC presents an range of chic, stylish and classy bags. Perfect Look: Designed for the modern woman, we use a variety of trendy and traditional prints that make you and your bag stand out in the crowd. Colourful: Classic colour combinations as well as mix and match of hip patterns make these bags ideal for any occasion. Occasion: be it work, college,travel, event or a party, there is a perfect bag for everything and everyone. Long Lasting: Comfortable and Spacious, light to hold and long lasting, our line of fashionable sling bags and totes are a must have in any wardrobe Available in beautiful prints, eye catching embroidery and brilliant colours, our bags complement your clothes and accentuate your accessories.Available in beautiful prints, eye catching embroidery and brilliant colours, our bags complement your clothes and accentuate your accessories."
ADISA Laptop Backpack 31 Ltrs,B07G3CG9FC,"ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com",NA
Wildcraft 35 Ltrs Casual Backpack (11619-Blue),B079DDV3JD,Wildcraft,"Two compartment for better organisation, side fabric pocket for carrying a bottle, padded back system for better back support, padded shoulder straps for comfort, ease of carrying, quick-grab haul loop, quick-access, flat front pocket to store basic essentials, multi-level organiser for storing accessories."
"Gizga Essentials Travel Toiletry Kit Bag for Men & Women, Travel Organizer Case with Handle & Hook, Premium Zipper, Multiple Pockets, Multi-Utility Pouch for Shaving Makeup Cosmetics, Light Grey", B09WVRKYCJ ,‎Gizga,NA
Gear Turbo 45L Expandable Water Resistant Antitheft Laptop Bag/Backpack/Briefcase For Men/Women With Raincover (Grey),B097KDRZ67,"Gear, Gear Merchandise Pvt Ltd, E/12 West Chowbaga Gulshan Colony, Kolkata-700100","Gear bags are designed for the quick commute as well for the long journey. These backpacks can be used as laptop bags, adventure bags and so on. Your favorite travel companion, the backpacks come with enough storage space to carry all your requirements."
ADISA SL5038 women girls sling bag,B08Q4FHQLN,"ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com","Box shaped block colored sling bag with gold twist lock made in PU. The sling belt is height adjustable to suit girls and women of all heights and ages. Comes in various colors, it is a very new and fresh design must for your bags collection. it has 1 main spacious compartment with vanity pocket. A beautiful sling perfect for parties and clubbing, or for casual daily use."
Lenovo 15.6-inch Casual Laptop Briefcase T210,B075Y8294N,"Lenovo, Ferns Icon, Level, 2, Outer Ring Rd, Doddanekundi, Mahadevapura, Bengaluru, Karnataka 560159, 1. DONGGUAN NIDAIKE ELECTRONIC TECHNOLOGY CO.,LTD. No.38 Taikang Street,Baihao Village, Houjie Town,Dongguan City,Guangdong Province,China-523957 2. Talent Hill Industrial Co., Ltd. Room 811, 7th Floor, No. 19 East tricy clic North Road , Chao yang District, Beijing, China.",NA
Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack,B07BZ5VC4H,"Safari Industries (India) Ltd, Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838",NA
LOOKMUSTER Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack…,B0BS6YGKMC,"Lookmuster, B-3/406 Agar nagar PremNagar-3rd Kirari suleman Nagar New Delhi-110086,Contact:9643638187.Lookmuster@gmail.com",NA
Lavie Sport Chairman Backpack with Laptop Sleeve | Premium Leatherette Business Backpack for Men & Women | Durable Office Bag for Notebook/MacBook,B09YCSCRBW,"Bagzone Lifestyle Pvt Ltd, Bagzone Lifestyle Pvt Ltd | | LAVIE 402, Ackruti Star, MIDC Central Road, Andheri East, Mumbai – 400093",NA
AUXTER Premium Sports Gym Duflle Bag with Shoe Compartment for Men and Women,B08XWBDGMB,"Gee Kay Enterprises, NO 72,ANOOP NAGAR EXT,BACKSIDE DANISHMANDA,JALANDHAR,PUNJAB-144001,8146718618,geekaybags@gmail.com",NA
"MOKOBARA The Work Backpack 15.6"" Inch Laptop | Travel Backpack For Men And Women",B0C7QGMGHB,Designed By Mokobara Lifestyle Private Limited,NA
"STRAUSS Yoga Mat Bag Cover with Shoulder Strap with Pocket for Men & Women, Drawstring and Full Zip,(Multicolor)", B0BBWM221J ,‎Dynamic IT Solution Pvt Ltd,NA
Gear polyester 44 cms Duffle Bag(DUFPRO2000106_Black),B00Z93WSVW,"Gear Merchandise PVT LTD, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366","Intuitively crafted at the Gear Design Studio to balance comfort, style, endurance and functionality."
"Red Lemon Swiss Cut Design 15.6 Inch Smart Laptop Backpack Bag With USB Charging Port, Anti Theft Pocket and Accessories Organiser for Men Women Boys Girls",B09RK4BRPM,NA,NA
"STRAUSS Yoga Mat Bag Cover with Shoulder Strap with Pocket for Men & Women, Drawstring and Full Zip,(Multicolor)", B0BBWM221J ,‎Dynamic IT Solution Pvt Ltd,NA
Gear polyester 44 cms Duffle Bag(DUFPRO2000106_Black),B00Z93WSVW,"Gear Merchandise PVT LTD, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366","Intuitively crafted at the Gear Design Studio to balance comfort, style, endurance and functionality."
Wildcraft 35 Ltrs Casual Backpack (11619-Blue),B079DDV3JD,Wildcraft,"Two compartment for better organisation, side fabric pocket for carrying a bottle, padded back system for better back support, padded shoulder straps for comfort, ease of carrying, quick-grab haul loop, quick-access, flat front pocket to store basic essentials, multi-level organiser for storing accessories."
ADISA 32 Ltrs Water Resistant Casual Travel Bagpack/College Backpack/School Office Bag for Men and Women,B07MXL986B,"ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com",NA
Gear LOGI-Q 27L Water Resistant Laptop Bag/Backpack/Office Bag for Men/Women (Black-White),B0BTJ2VV17,"Gear Merchandise Pvt Ltd, Gear Merchandise Pvt Ltd, E/12 West Chowbaga, Gulshan Colony, Kolkata 700100",Each Gear Bag is born in our in-house design & prototyping studio & characterises a recognisable aesthetic & functionality
ADISA SL5038 women girls sling bag,B08Q4FHQLN,"ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com","Box shaped block colored sling bag with gold twist lock made in PU. The sling belt is height adjustable to suit girls and women of all heights and ages. Comes in various colors, it is a very new and fresh design must for your bags collection. it has 1 main spacious compartment with vanity pocket. A beautiful sling perfect for parties and clubbing, or for casual daily use."
FUR JADEN Vegan Leather 30L 15.6 Inch Laptop Backpack for Men Women for Office Professionals and College Students Brown,B07P5X6NSN,"Fur Jaden, 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028",A trendy addition to your accessory collection this season comes in the form of this Backpack
"Tabelito® NEXA 3O L Water Resistant Laptop/College/Office/School/Travel/Business Bag, Unisex Backpack for Men Women Fits Up to 15.6 Inch Laptop Notebook. (GREY)",B0C2D3YR7T,"‎Tabelito Trade India, ‎Tabelito Trade India, Tabelito Trade India, Prop No: 5, Ground Floor, Kh No:641, Village Rithala, Land Mark: Near Suzuki service center (Rithala), Contact : +919958166528","Decent BACKPACK: The Tabelito Backpack / Daypack is made of HIGH QUALITY Anti Scratch Fabric with a sturdy zipper design, making it incredibly sturdy, tear-resistant, and capable of protecting your items from dust, rain, and filth. Even more robust and long-lasting are the strong buckle and zipper. LARGE CAPACITY & MULTI COMPARTMENTS & LIGHT WEIGHT: The backpack has three compartments. There is ample storage for clothes, books, a lunchbox, daily needs, and tech equipment accessories in the separate laptop compartment that fits a 15.6-inch laptop as well as a 15-inch, 14-inch, and 13-inch or Mac book. The middle compartment has enough capacity for a laptop charger, an iPad, a tablet, a smartphone, a document file, and other necessary accessories. There are two small elastic mesh side pockets for water bottles and a front compartment with zipper pockets for easy access items like a mask, wallet, metro card, and wallet. Make your goods more accessible and organised. HIGH QUALITY MATERIAL: The metal zippers on our backpack are made of high-quality, water-resistant Polyester fabric. Lightweight and strong build guarantee daily use that is safe and durable. Perfect for shopping, office work, business travel, weekend trips, and other outdoor activities. It is also the ideal backpack for teens, boys, girls, adults, and other genders."
Lavie Sport Chairman Backpack with Laptop Sleeve | Premium Leatherette Business Backpack for Men & Women | Durable Office Bag for Notebook/MacBook,B09YCSCRBW,"Bagzone Lifestyle Pvt Ltd, Bagzone Lifestyle Pvt Ltd | | LAVIE 402, Ackruti Star, MIDC Central Road, Andheri East, Mumbai – 400093",NA
"Storite Multi-Pocket 15.6 Inch PU Leather Laptop Bag for Men, Shoulder Sling Business Messenger Office Bag Carrying Notebook, Tablet Handbags for Women", B08WZ9KP7Q ,‎SaiTech IT Private Limited,NA
"SPENZ BAGS Travel Laptop Backpack for Women & Men|Carry On Bag, College & School Students Bookbag With Raincover",B0C3RNFHHV,"Spenz Bags, Spenz Bags","At Spenz Bags, we provide the highest quality backpacks with the most reasonable cost so every customer can find a backpack they actually love to carry. To create products that inspire people to get out and live passionate lives; exploring, creating, and living life in the moment."
"Red Lemon Swiss Cut Design 15.6 Inch Smart Laptop Backpack Bag With USB Charging Port, Anti Theft Pocket and Accessories Organiser for Men Women Boys Girls",B09RK4BRPM,NA,NA
Trajectory 15.6 Inch Vegan Leather Messenger Laptop bag for men in Office for all laptop like Apple MacBook with 2 Years Warranty and Spacious Multiple Compartment with Expandable Bottom Used as Shoulder and Handbag for Men,B09RK6NCGC,"Trajectory Marketing LLP, Customer support contact no:- 8178915719",NA
